Cycle Time,Latitude, Longitude, Altitude, Pitch, Roll
1.000001,53.668106,10.032781,89.446167,39.947647,-104.715462
1.000001,53.972301,10.237867,97.56366,39.94759,-104.715111
1.000001,52.573269,9.764113,106.908371,39.947514,-104.714767
1.000001,48.357487,17.364462,111.127769,39.947426,-104.714447
1.000001,48.042336,14.770036,110.828278,39.947319,-104.714157
1.000001,46.795685,13.558368,114.580116,39.947189,-104.713867
1.000001,45.486008,13.982347,120.181366,39.947048,-104.713593
1.000001,45.938843,13.409617,124.262238,39.946888,-104.713326
1.000001,49.430389,4.743011,127.326172,39.946701,-104.713066
1.000001,51.614883,-1.347609,128.921265,39.946507,-104.712807
1.000001,53.340843,0.3487,126.756699,39.946308,-104.712547
1.000225,55.573895,4.236721,121.002922,39.946102,-104.712273
1.000001,54.843777,6.773116,122.741287,39.945896,-104.712013
1.000001,53.706936,3.174618,129.886581,39.945694,-104.711754
1.000001,52.272209,10.103853,135.005905,39.945488,-104.711517
1.000001,51.305771,12.152729,137.835938,39.945282,-104.711304
1.000001,49.973717,11.174145,142.466156,39.945061,-104.711098
1.000001,46.189434,-1.452388,146.919144,39.944851,-104.71093
1.000001,41.39286,-0.002252,142.656418,39.944649,-104.710785
1.000001,36.157516,-0.601442,145.663284,39.944462,-104.710655
1.000001,31.517815,0.013706,146.316223,39.94429,-104.710541
1.000001,27.196653,-0.253697,148.208344,39.944138,-104.710449
1.00003,20.913122,-0.119213,149.890747,39.944004,-104.710373
1.000001,14.66448,-0.165337,151.715256,39.943886,-104.710312
1.000001,8.635687,0.022555,153.671799,39.943787,-104.710266
1.000001,3.378923,-0.223751,156.155899,39.943703,-104.710236
1.000001,-1.133374,-0.136107,159.167007,39.943642,-104.710213
1.000001,-6.141136,0.18834,162.61322,39.9436,-104.710205
1.000001,-12.434698,0.449128,165.142624,39.943581,-104.710197
